id,student_id,skill_id,duration_unit,duration,start_at,finish_at,attachments,status,notes,deleted_at,created_at,updated_at
103792,431201957,11238,hours,90,14/04/2024,20/07/2024,student_requests/61VkfYsRB0bOAWFhJVPRutaILptIBAtAyyYbzQ6P.pdf,accepted,NULL,NULL,01/08/2024 01:41,01/08/2024 15:24
103795,432205286,10392,hours,3,25/04/2024,25/04/2024,student_requests/vpUKPmZtrs03tnEdkn3NKHyh1IeGoK8Xg6awYGIM.pdf,accepted,NULL,NULL,01/08/2024 02:31,01/08/2024 15:26
103798,451214043,8987,hours,20,31/01/2024,03/02/2024,student_requests/irFUR2cJkLZIB2OxLnZaVdPsCRrqCW8erHnZDUN0.pdf,accepted,NULL,NULL,01/08/2024 09:57,01/08/2024 15:28
103801,451203343,10668,hours,2,01/05/2024,01/05/2024,student_requests/2zN883b6LGk69g9BYP8C5Jx46X7zMLQf0W81mm5T.pdf,accepted,NULL,NULL,01/08/2024 10:29,01/08/2024 15:30
103804,442201723,11247,hours,90,14/04/2024,31/12/2024,student_requests/UVwF3piLcGdNHOYXAZ5wsygBpMj6YfLwlFlH3WN1.pdf,rejected,_____ _______ _______ ___ ______ __ ______,NULL,01/08/2024 12:11,01/08/2024 15:33
103807,451203044,7113,hours,1,24/10/2023,24/10/2023,student_requests/Ou4jZ2fAaScBSioycrXRqW8XucrPW0FOq2sDOG96.pdf,rejected,_______ ______ _______ _______ __ ______ __ _______,NULL,01/08/2024 13:05,01/08/2024 15:38
103810,422205507,11244,hours,16,26/06/2024,28/07/2024,student_requests/QfQJlSvKWPAPYScx6lcnJSdbRRag4DQLn7rQctdK.pdf,rejected,_______ _______ ___ ____ ___,NULL,01/08/2024 13:30,03/08/2024 22:15
103813,421201443,11241,hours,90,14/04/2024,31/12/2024,student_requests/XehMA4aSTYj9OE699Uyc3tXtolEpVwvK99dpSJ5i.pdf,rejected,_______ _______ ___ ____ ___,NULL,01/08/2024 14:19,03/08/2024 22:17
103816,411216167,6618,hours,1,03/04/2023,03/04/2023,student_requests/OLbqNBA8PH5s68XzH7enlG6rxyo5B68OY0hZya4i.pdf,accepted,NULL,NULL,01/08/2024 21:06,03/08/2024 22:31
103819,411216167,5439,hours,1,02/04/2023,02/04/2023,student_requests/HMBcJz8BIOWm1NS2v49D9SvSgwJAVud9rPDqaKWy.pdf,accepted,NULL,NULL,01/08/2024 21:11,03/08/2024 22:38
103822,432218782,9615,hours,5,04/03/2024,04/03/2024,student_requests/0e1U99PlgEUzgVjwzPpYnswGJQbuDGBdJdmkpHzd.jpg,accepted,NULL,NULL,01/08/2024 22:29,03/08/2024 22:40
103825,442202543,4540,hours,1,26/03/2023,26/03/2023,student_requests/RfAp6DxjvbeO4UAfbvWkkjMZCmNFTF3IfDMBOKja.pdf,accepted,NULL,NULL,01/08/2024 23:41,03/08/2024 22:41
103828,442202543,5439,hours,1,02/04/2023,02/04/2023,student_requests/2vDV7dSgqnm0j3I0DbRCWMiJgwEO1egC9p6wQ4Y4.pdf,accepted,NULL,NULL,01/08/2024 23:44,03/08/2024 22:43
103831,442202543,4973,hours,5,09/05/2023,09/05/2023,student_requests/ltyCac2AcAtyHMAdUj0TfejVpjHjftK3WeMWgYu5.pdf,accepted,NULL,NULL,01/08/2024 23:50,03/08/2024 22:44
103834,442202543,6054,hours,1,17/07/2023,17/07/2023,student_requests/gn2pfFLb8PXs27hVkZjwQQwtPISEMLA31C5OqDYQ.pdf,accepted,NULL,NULL,01/08/2024 23:53,03/08/2024 22:47
103837,442202543,6072,hours,40,29/07/2023,05/08/2023,student_requests/VNsqOPdEnMcUHyAI5QBPI28HvJKnbb8bfFhHMLKh.pdf,accepted,NULL,NULL,01/08/2024 23:56,04/08/2024 03:21
103840,442202543,6407,hours,2,20/09/2023,20/09/2023,student_requests/Rqu632ev1ushS1cEtkWYHOXWjULStPZ6g7rjnSyw.pdf,accepted,NULL,NULL,01/08/2024 23:59,04/08/2024 03:24
103843,442202543,6387,hours,1,28/09/2023,28/09/2023,student_requests/dDHz0FIakVBPfCs0Jwif7ROXsN5cdzFjQfmjn7kM.pdf,accepted,NULL,NULL,02/08/2024 00:01,04/08/2024 03:30
103846,442202543,6622,hours,2,09/10/2023,10/10/2023,student_requests/OCK5qqKNAa0CKl4fzD3XL1hqcl0eUn7vs80YLDt7.pdf,accepted,NULL,NULL,02/08/2024 00:07,04/08/2024 03:32
103849,442202543,6669,hours,3,11/10/2023,11/10/2023,student_requests/yQVEurKPQgoBe8jUDimdZyNA7m8APg0L2lIiPMXH.pdf,accepted,NULL,NULL,02/08/2024 00:29,04/08/2024 03:34
103852,442202543,3864,hours,10,23/01/2023,24/01/2023,student_requests/SQdwaY5D16NR4FHEZTFGIrWR5teMWDb7jtX1EUt6.pdf,accepted,NULL,NULL,02/08/2024 00:34,04/08/2024 03:45
103855,442202543,9825,hours,3,13/03/2024,13/03/2024,student_requests/w3ZATXbAc8VYMUjffFY7BogFfDKnpmJ1v88jUZM4.pdf,accepted,NULL,NULL,02/08/2024 00:39,04/08/2024 03:46
