#,Author,Rating,Date,Date (parsed),Review Text,Language,Review ID
1,ouiop c,4,قبل 5 أشهر,,كل شي ممتاز لاكن الكليه التطبيقيه  وكليه الحاسب ايضا فيه غياب كبير للتشجير وفيه غبار كثير دايم يطير معى الهواء ويعج اتمنى يكون فيه حضور للتشجير,ar,Ci9DQUlRQUNvZENodHljRjlvT2t4c1ZuRjNaR05qVTJzeGQxUmFOVGxSZW5SbFYyYxAB
2,ouiop c,,,,"ouiop c
مرشد محلي · 13 مراجعة · 13 صورة",ar,Ci9DQUlRQUNvZENodHljRjlvT2t4c1ZuRjNaR05qVTJzeGQxUmFOVGxSZW5SbFYyYxAB
3,عوض جبران العنزي,5,قبل 3 أشهر,,جامعة القصيم من الجامعات المميزة، تطورت كثيرًا في برامجها وخدماتها، ولها حضور علمي محترم.,ar,Ci9DQUlRQUNvZENodHljRjlvT21wS1IzTkJWMDFhVEc1allYVlRlakpTT0ZkbWNGRRAB
4,عوض جبران العنزي,,,,"عوض جبران العنزي
مرشد محلي · 67 مراجعة · 749 صورة",ar,Ci9DQUlRQUNvZENodHljRjlvT21wS1IzTkJWMDFhVEc1allYVlRlakpTT0ZkbWNGRRAB
5,munera dossary,4,قبل 4 أشهر,,بغض النظر عن الجامعة وعن ادائها ورؤيتها ورسالتها واهدافها ولكن نزل تقييمها بسبب قروب الاطفال اللي يلعقون في التعليقات؟؟؟ عجيب اننا نتكلم عن مستوى جامعي وهو بهذه التعليقات وبهذا المستوى ؟ لماذا تظُلم الجامعة من هذا الباب، بسبب تلك التعليقات التي وضع التعليق من اجل الفائدة والاستفادة لمصلحة الجامعة ومن تخدمه ،واليوم هو اول بحث لي عن الجامعة بسببب اعلان للدراسه عن بعد فقط.,ar,Ci9DQUlRQUNvZENodHljRjlvT201SlVISldXbFk0ZWpaRWRqRkRZMVZ1VTFSd1IyYxAB
6,munera dossary,,,,"munera dossary
مرشد محلي · 84 مراجعة · 5 صور",ar,Ci9DQUlRQUNvZENodHljRjlvT201SlVISldXbFk0ZWpaRWRqRkRZMVZ1VTFSd1IyYxAB
7,ياسر السلامه,5,قبل 5 أشهر,,مركز تنمية القيادات والقدرات مبنى مجهز للتدريب ونخبة من الدكاترة المحاضرين متمكنين في التدريب,ar,Ci9DQUlRQUNvZENodHljRjlvT21KWmFVeFFXa1YxUTA1WlFrZFphRGhDZW1NeVdWRRAB
8,ياسر السلامه,,,,"ياسر السلامه
مرشد محلي · 33 مراجعة · 34 صورة",ar,Ci9DQUlRQUNvZENodHljRjlvT21KWmFVeFFXa1YxUTA1WlFrZFphRGhDZW1NeVdWRRAB
9,فهد الفالح,4,قبل 5 أشهر,,مشكلة ازدحام الخط مع نقليات أرامكو ..وكذلك الطرق الداخلية للجامعة بعضها مغلق بحواجز وهذه طريقة جدا سيئة وليست حل لانسيابية المرور لأن البعض يعكس الطريق المزدوج تلافيا لبعض الطرق المسدودة من جهة ومفتوحة من جهة أخرى ..,ar,Ci9DQUlRQUNvZENodHljRjlvT2xRemRGQXlTMms1WldoVVdrUTRXSE56Yld4NWQzYxAB
10,فهد الفالح,,,,"فهد الفالح
مرشد محلي · 283 مراجعة · 24 صورة",ar,Ci9DQUlRQUNvZENodHljRjlvT2xRemRGQXlTMms1WldoVVdrUTRXSE56Yld4NWQzYxAB
