#,Platform,Language,Title,URL,Content,Full Content,Author,Date,Source Site,Query,Backend
1,instagram,ar,‎جامعة القصيم Qassim University‎ (@qu_uni) - Instagram,https://www.instagram.com/qu_uni/,جامعة القصيم Qassim University‎ (@qu_uni) • Instagram photos and videos.,,,,www.instagram.com,جامعة القصيم,searxng
2,instagram,ar,‎تجمع طالبات جامعة القصيم ‍ ... - Instagram,https://www.instagram.com/qassim_uni/,تجمع طالبات جامعة القصيم👩‍🎓🏫‎ (@qassim_uni) • Instagram photos and videos.,,,,www.instagram.com,جامعة القصيم,searxng
3,instagram,ar,‎جامعة القصيم Qassim University‎ | ‎‏⁧‫#جامعة_القصيم‬⁩ تطلق خدمة «موعد ...,https://www.instagram.com/reel/DA8Q875Il7C/,جامعة القصيم Qassim University‎ | ‎‏⁧‫#جامعة_القصيم‬⁩ تطلق خدمة «موعد» عبر موقعها الإلكتروني، لتسهيل التواصل وحجز المواعيد الحضورية والافتراضية بين جهات الجامعة الداخلية...‎ | Instagram,,,,www.instagram.com,جامعة القصيم,searxng
4,instagram,ar,‎جامعه القصيم‎ (@qassim_university1) • Instagram photos and videos,https://www.instagram.com/qassim_university1/,"144 Followers, 49 Following, 74 Posts - ‎جامعه القصيم (@qassim_university1)‎ on Instagram: ""‎احصل الان علي قبولات جامعية مضمونه بالتخصص اللي تبيه بطرق نظامية لجامعة القصيم احجز مقعدك الأن 📩‎""",,,,www.instagram.com,جامعة القصيم,searxng
5,instagram,ar,‎جامعة القصيم‎ • 1.7K reels on Instagram,https://www.instagram.com/popular/%D8%AC%D8%A7%D9%85%D8%B9%D8%A9-%D8%A7%D9%84%D9%82%D8%B5%D9%8A%D9%85/,⁨ أيام لا تنسى في سنوات الدراسة في جامعة الإمام محمد بن سعود في القصيم وسكننا نحن الشباب الكويتيين في مدينة عنيزة سنوات 1406-1410 مع نخبة من الشباب الطيّب وتشرّفت فيها بمعرفة أخي الشيخ عثمان ...,,,,www.instagram.com,جامعة القصيم,searxng
6,instagram,ar,‎جامعة القصيم‎ (@alqassim_un) • Instagram photos and videos,https://www.instagram.com/alqassim_un/,جامعة القصيم‎ (@alqassim_un) • Instagram photos and videos.,,,,www.instagram.com,جامعة القصيم,searxng
7,instagram,ar,جامعة القصيم. - Instagram,https://www.instagram.com/popular/جامعة-القصيم./,بعد ١٧ عاماً من ارتباط اسمي بها، حان موعد الرحيل من ⁧‫جامعة طيبة‬⁩ ‏لأبدأ بفضل الله فصلاً جديداً من مشواري المهني في ⁧‫جامعة القصيم‬⁩ ‏اشكر ⁦‪جامعة طيبة‬⁩ ومنسوبيها على ماقدموه لي ...,,,,www.instagram.com,جامعة القصيم,searxng
8,instagram,ar,‎جامعة القصيم Qassim University‎ | ‎‏صور | ‏جانب من معرض «نفخر بها ...,https://www.instagram.com/p/DDuZjf4IUFj/,جامعة القصيم Qassim University‎ | ‎‏صور | ‏جانب من معرض «نفخر بها» بمناسبة ⁧‫#اليوم_العالمي_للغة_العربية‬⁩ بالبهو الرئيس بالمدينة الجامعية. ‏⁧‫#جامعة_القصيم‬⁩‎ | Instagram,,,,www.instagram.com,جامعة القصيم,searxng
9,instagram,ar,‎جامعة القصيم Qassim University‎ | ‎‏لتقديم مسارات تعليمية مرنة توازن ...,https://www.instagram.com/p/C5EXBOQL69L/,"تعلن ⁧‫#جامعة_القصيم‬⁩ عن بداية التسجيل بمسارات التعلم المرن، بالتعاون مع ⁧‫#المركز_الوطني_للتعليم_الإلكتروني‬⁩. التسجيل عبر الرابط : ‏⁦‪forms.gle/4xtbUyrvgbcLaY…‬⁩"".",,,,www.instagram.com,جامعة القصيم,searxng
10,instagram,ar,‎جامعة القصيم Qassim University‎ | ‎‏المجلات العلمية بالجامعة | ‏صدور ...,https://www.instagram.com/p/DI8_mCTIazX/,"12 likes, 2 comments - qu_uni on April 27, 2025‎: ""‏المجلات العلمية بالجامعة | ‏صدور العدد الرابع من المجلد 18 من مجلة العلوم العربية والإنسانية بـ ⁧‫#جامعة_القصيم‬⁩.",,,2025-04-27 00:00:00,www.instagram.com,جامعة القصيم,searxng
